CLASE;TASA_MAX;VIDA_ANIOS;TASA_PRE2017
CONSTRUCCIONES Y EDIFICACIONES;2.22;45;5.00
ACUEDUCTO, PLANTA Y REDES;2.50;40;5.00
VÍAS DE COMUNICACIÓN;2.50;40;5.00
FLOTA Y EQUIPO AÉREO;3.33;30;10.00
FLOTA Y EQUIPO FÉRREO;5.00;20;10.00
FLOTA Y EQUIPO FLUVIAL;6.67;15;10.00
ARMAMENTO Y EQUIPO DE VIGILANCIA;10.00;10;10.00
EQUIPO ELÉCTRICO;10.00;10;10.00
FLOTA Y EQUIPO DE TRANSPORTE TERRESTRE;10.00;10;20.00
MAQUINARIA, EQUIPOS;10.00;10;10.00
MUEBLES Y ENSERES;10.00;10;10.00
EQUIPO MÉDICO CIENTÍFICO;12.50;8;10.00
ENVASES, EMPAQUES Y HERRAMIENTAS;20.00;5;10.00
EQUIPO DE COMPUTACIÓN;20.00;5;20.00
REDES DE PROCESAMIENTO DE DATOS;20.00;5;20.00
EQUIPO DE COMUNICACIÓN;20.00;5;10.00
