ANIO;PERIODO;DIGITO;VENCIMIENTO
2020;1;0;2020-02-11
2020;1;1;2020-02-24
2020;1;2;2020-02-21
2020;1;3;2020-02-20
2020;1;4;2020-02-19
2020;1;5;2020-02-18
2020;1;6;2020-02-17
2020;1;7;2020-02-14
2020;1;8;2020-02-13
2020;1;9;2020-02-12
2020;2;0;2020-03-10
2020;2;1;2020-03-24
2020;2;2;2020-03-20
2020;2;3;2020-03-19
2020;2;4;2020-03-18
2020;2;5;2020-03-17
2020;2;6;2020-03-16
2020;2;7;2020-03-13
2020;2;8;2020-03-12
2020;2;9;2020-03-11
2020;3;0;2020-04-14
2020;3;1;2020-04-27
2020;3;2;2020-04-24
2020;3;3;2020-04-23
2020;3;4;2020-04-22
2020;3;5;2020-04-21
2020;3;6;2020-04-20
2020;3;7;2020-04-17
2020;3;8;2020-04-16
2020;3;9;2020-04-15
2020;4;0;2020-05-12
2020;4;1;2020-05-26
2020;4;2;2020-05-22
2020;4;3;2020-05-21
2020;4;4;2020-05-20
2020;4;5;2020-05-19
2020;4;6;2020-05-18
2020;4;7;2020-05-15
2020;4;8;2020-05-14
2020;4;9;2020-05-13
2020;5;0;2020-06-09
2020;5;1;2020-06-24
2020;5;2;2020-06-23
2020;5;3;2020-06-19
2020;5;4;2020-06-18
2020;5;5;2020-06-17
2020;5;6;2020-06-16
2020;5;7;2020-06-12
2020;5;8;2020-06-11
2020;5;9;2020-06-10
2020;6;0;2020-07-07
2020;6;1;2020-07-21
2020;6;2;2020-07-17
2020;6;3;2020-07-16
2020;6;4;2020-07-15
2020;6;5;2020-07-14
2020;6;6;2020-07-13
2020;6;7;2020-07-10
2020;6;8;2020-07-09
2020;6;9;2020-07-08
2020;7;0;2020-08-11
2020;7;1;2020-08-25
2020;7;2;2020-08-24
2020;7;3;2020-08-21
2020;7;4;2020-08-20
2020;7;5;2020-08-19
2020;7;6;2020-08-18
2020;7;7;2020-08-14
2020;7;8;2020-08-13
2020;7;9;2020-08-12
2020;8;0;2020-09-08
2020;8;1;2020-09-21
2020;8;2;2020-09-18
2020;8;3;2020-09-17
2020;8;4;2020-09-16
2020;8;5;2020-09-15
2020;8;6;2020-09-14
